SKU_ID,Unique_SKU_Name,Crop,Variety,Pack_Size,Category,SKU_Status,Mapping_Confidence,Review_Flag,Review_Reason
"SEENEW017","Radish Surekha(Palak Patta)100gm*10 Pc","Radish","Surekha","100 Gm × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Radish Surekha(Palak Patta)100gm*10 Pc"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 19 row(s), 322 KGS, ₹82,820.64"
"PACNEW003","Electronic Cylinders (Paddy 6 Kg)","Not Applicable","Not Applicable","6 Kg","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Electronic Cylinders (Paddy 6 Kg)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 8 NOS, ₹81,312"
"SEENEW018","Foundation Wheat-DBW371","Wheat","Foundation DBW371","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Foundation Wheat-DBW371"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 800 KGS, ₹70,560"
"OINNEW001","Hand Held Moisture Tester Machine","Not Applicable","Not Applicable","Not Available","Other Input","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Hand Held Moisture Tester Machine"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 2 NOS, ₹70,000"
"SEENEW019","Radish Surekha (Palak Patta)","Radish","Surekha","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Radish Surekha (Palak Patta)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 3 row(s), 442 KGS, ₹50,828.51"
"SEENEW020","Spongegourd Hyb. Ankita 50gm*10","Spongegourd","Hyb Ankita","50 Gm × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Spongegourd Hyb. Ankita 50gm*10"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 4 row(s), 6.95 KGS, ₹48,688.53"
"SEENEW021","Bittergourd Hyb. Abhi 25gm*10 Pc","Bitter Gourd","Abhi","25 Gm × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Bittergourd Hyb. Abhi 25gm*10 Pc"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 2.75 KGS, ₹46,750"
"PACNEW004","Corrugated Box Mono Box","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Corrugated Box Mono Box"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 3,665 PCS, ₹38,482.5"
"PACNEW005","Printed Laminated Pouch (SSG Common)","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Printed Laminated Pouch (SSG Common)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 3,850 NOS, ₹34,650"
"PACNEW006","Wheat Packing Bag 20 Kg","Not Applicable","Not Applicable","20 Kg","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Wheat Packing Bag 20 Kg"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 0 , ₹33,750"
"PACNEW007","Printed Laminated Pouch (Chankya)","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Printed Laminated Pouch (Chankya)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 3,031 NOS, ₹33,037.9"
"SEENEW022","Urad (Alankar 2 Hara) 3Kg*10PKT","Urad","Not Available","3 Kg × 10 Pkt","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Urad (Alankar 2 Hara) 3Kg*10PKT"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 5 row(s), 138 KGS, ₹27,060"
"SEENEW023","Radish Surekha (200 Gm*5 Pc)","Radish","Surekha","200 Gm × 5 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Radish Surekha (200 Gm*5 Pc)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 3 row(s), 70 KGS, ₹22,200"
"SEENEW024","Palak All Green  500gm*30 Pc","Palak","All Green","500 Gm × 30 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Palak All Green  500gm*30 Pc"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 7 row(s), 210 KGS, ₹20,775"
"SEENEW025","VM-All GREEN","VM","All GREEN","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""VM-All GREEN"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 3 row(s), 94.5 KGS, ₹19,845"
"PACNEW008","Foundation Seed Packing Bags","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Foundation Seed Packing Bags"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 400 NOS, ₹8,480"
"SEENEW026","Urad Aazad-2(Black ) 3kg*10 Pkt.","Urad","Aazad 2","3 Kg × 10 Pkt","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Urad Aazad-2(Black ) 3kg*10 Pkt."" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 36 KGS, ₹7,740"
"SEENEW027","Foundation Wheat-DWRB137","Wheat","Foundation DWRB137","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Foundation Wheat-DWRB137"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 80 KGS, ₹6,080"
"SEENEW028","Mung VM-444","Mung","VM 444","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Mung VM-444"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 24 KGS, ₹4,680"
"CHENEW001","Thiamethoxam","Not Applicable","Not Applicable","Not Available","Chemical","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Thiamethoxam"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 10 LTR, ₹4,600"
"PACNEW009","Corrugated Box 10 Kg","Not Applicable","Not Applicable","10 Kg","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Corrugated Box 10 Kg"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 83 PCS, ₹4,440.5"
"SEENEW029","Coriander Split","Coriander","Split","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Coriander Split"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 3 row(s), 10 KGS, ₹4,250"
"SEENEW030","Okra OP Sohini 100gm*10 Pc","Okra","OP Sohini","100 Gm × 10 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Okra OP Sohini 100gm*10 Pc"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 3 KGS, ₹3,750"
"PACNEW010","Corrugated Carton 5Kg","Not Applicable","Not Applicable","5 Kg","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Corrugated Carton 5Kg"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 94 PCS, ₹3,384"
"SEENEW031","Mustard Breeder","Mustard","Breeder","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Mustard Breeder"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 20 KGS, ₹2,710"
"SEENEW032","Magic 2 Red 113","Magic","2 Red 113","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Magic 2 Red 113"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 5 NOS, ₹1,625"
"SEENEW033","Bittergourd Hybrid Abhi","Bitter Gourd","Abhi","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Bittergourd Hybrid Abhi"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"PACNEW011","Corrugated Carton 2.5Kg","Not Applicable","Not Applicable","2.5 Kg","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Corrugated Carton 2.5Kg"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"PACNEW012","Corrugated Cartons","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Corrugated Cartons"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW034","DTP","DTP","Not Available","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""DTP"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 0 , ₹0"
"SEENEW035","Ganga-13","Ganga","13","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Ganga-13"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW036","Mustard Pila Sona","Mustard","Pila Sona","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Mustard Pila Sona"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 KGS, ₹0"
"SEENEW037","Okra Sohini","Okra","Sohini","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Okra Sohini"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"PACNEW013","Packing Container","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Packing Container"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW038","Paddy Anam Plus(6 Kg*5 Pc)","Paddy","Anam Plus","6 Kg × 5 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy Anam Plus(6 Kg*5 Pc)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW039","Paddy (BPT 5204)","Paddy","Not Available","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy (BPT 5204)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 0 KGS, ₹0"
"SEENEW040","Paddy PB(1847)","Paddy","PB","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy PB(1847)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 2 row(s), 0 KGS, ₹0"
"SEENEW041","Paddy PB(1847) 6 Kg*4 Pc.","Paddy","PB","6 Kg × 4 Pc","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Paddy PB(1847) 6 Kg*4 Pc."" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW042","PBW-343","PBW","343","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""PBW-343"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW043","PBW-373","PBW","373","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""PBW-373"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW044","PBW-550","PBW","550","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""PBW-550"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"PACNEW014","Pet Jar-200 Gm","Not Applicable","Not Applicable","200 Gm","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Pet Jar-200 Gm"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 NOS, ₹0"
"PACNEW015","Promotion Bag","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Promotion Bag"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 NOS, ₹0"
"SEENEW045","Spongegourd Hybrid Ankita","Spongegourd","Hybrid Ankita","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Spongegourd Hybrid Ankita"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW046","VM-301","VM","301","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""VM-301"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW047","Wheat Certified Seed","Wheat","Certified","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Wheat Certified Seed"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW048","Wheat Certified Seed(Other)","Wheat","Certified","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Wheat Certified Seed(Other)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW049","WHEAT HD 3086","Wheat","HD 3086","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""WHEAT HD 3086"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW050","Wheat PBW 343","Wheat","PBW 343","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Wheat PBW 343"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW051","WHEAT PBW 373","Wheat","PBW 373","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""WHEAT PBW 373"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW052","Chemical 18 Mt","Chemical","18 Mt","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Chemical 18 Mt"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW053","Maize (Chankya 4590)4 Kg*8 PKT","Maize","Not Available","4 Kg × 8 Pkt","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Maize (Chankya 4590)4 Kg*8 PKT"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW054","Maize (Vasant Gold)","Maize","Not Available","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Maize (Vasant Gold)"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"PACNEW016","Outer Bag/HDP Bags","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Outer Bag/HDP Bags"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"CHENEW002","Pesticide","Not Applicable","Not Applicable","Not Available","Chemical","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Pesticide"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"PACNEW017","Rubber Sterio","Not Applicable","Not Applicable","Not Available","Packing Material","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Rubber Sterio"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW055","Seedworx Bond Yellow","Seedworx","Bond Yellow","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Seedworx Bond Yellow"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 KGS, ₹0"
"SEENEW056","Seedworx Vivid Red","Seedworx","Vivid Red","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Seedworx Vivid Red"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
"SEENEW057","Water Melon Yug","Water Melon","Yug","Not Available","Seed","DRAFT — confirm before activating","Low","Yes","DRAFT from Tally item name ""Water Melon Yug"" — verify crop/variety/pack size and category (auto-classified by keyword). Impact: 1 row(s), 0 , ₹0"
